2025-09-17 00:10:32.689 | DEBUG    | datastructure_factory.logging_config:setup_logging:33 - Logging initialized. File: data/logs/ds_factory.log
2025-09-17 00:10:32.692 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: array_list -> <class 'datastructure_factory.linear.array_list.DynamicArray'>
2025-09-17 00:10:32.694 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: singly_linked_list -> <class 'datastructure_factory.linear.linked_list.SinglyLinkedList'>
2025-09-17 00:10:32.694 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: deque_list -> <class 'datastructure_factory.linear.linked_list.DequeList'>
2025-09-17 00:10:32.695 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: stack -> <class 'datastructure_factory.linear.stack_queue.Stack'>
2025-09-17 00:10:32.695 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: queue -> <class 'datastructure_factory.linear.stack_queue.Queue'>
2025-09-17 00:10:32.697 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: hash_map -> <class 'datastructure_factory.hash.hashmap.HashMap'>
2025-09-17 00:10:32.698 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: lru_cache -> <class 'datastructure_factory.hash.lru_cache.LRUCache'>
2025-09-17 00:10:32.700 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: bst -> <class 'datastructure_factory.trees.bst.BST'>
2025-09-17 00:10:32.701 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: avl -> <class 'datastructure_factory.trees.avl.AVL'>
2025-09-17 00:10:32.703 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: min_heap -> <class 'datastructure_factory.heap.binary_heap.MinHeap'>
2025-09-17 00:10:32.704 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: dsu -> <class 'datastructure_factory.dsu.disjoint_set.DisjointSet'>
2025-09-17 00:10:32.705 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: graph -> <class 'datastructure_factory.graph.graph.Graph'>
2025-09-17 00:10:32.706 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: dijkstra -> <function dijkstra at 0x1059bb2e0>
2025-09-17 00:10:32.707 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kruskal -> <function kruskal at 0x1059e8400>
